vehicle_id,timestamp,latitude,longitude,speed,acceleration,direction,lane_id,packet_loss_rate,signal_strength,message_frequency,data_volume,latency,weather_condition,traffic_density,road_type,RSU_distance,threat_type,speed_variance,position_change_rate,message_integrity
1051,2025-01-01 00:00:00.100,35.47535715320496,-119.8659969709057,56.93963178886665,-1.375925438230254,56.158027321032954,3,0.09184977839317343,-66.65728472152445,50,61.23506965774815,48.9468448256698,rainy,47,highway,397.2740457519261,0,,,Passed
1032,2025-01-01 00:00:00.200,35.152121121479766,-119.76237821581611,49.43752583889521,-0.8350834392078323,220.2670421000566,2,0.009333132642723086,-50.65611202896352,50,87.36419905302216,42.481158648755475,foggy,64,urban,213.36701263679296,0,,,Passed
1050,2025-01-01 00:00:00.300,35.34015376929389,-119.72524962598477,30.596923252193992,1.768807022739411,202.78375842439414,2,0.06092275383467414,-72.5581971498404,50,100.9958111295275,36.34988302239174,foggy,44,urban,140.57299356000593,0,,,Passed
1003,2025-01-01 00:00:00.400,35.155855538044705,-119.76003401058891,54.60196257044758,-1.2605821778978918,349.0504659952411,2,0.08995082667395314,-65.12124409995464,10,103.63631975138526,26.42892690820424,rainy,96,highway,386.41020852227217,0,,,Passed
1084,2025-01-01 00:00:00.500,35.19433864484474,-119.63567451588695,67.29318791183681,-0.5729866932256429,101.13642348745708,4,0.05519983640450868,-67.59316235739794,5,64.47303862078626,49.541042781018106,sunny,17,highway,335.41149995919193,0,,,Passed
1080,2025-01-01 00:00:00.600,35.35567097637433,-119.8950877702656,57.26819886514551,1.7052035140533959,234.3877291807,4,0.17262068517511872,-59.41754682931105,10,65.72460698942467,27.978638826939324,rainy,97,urban,256.9542256977045,0,,,Passed
1085,2025-01-01 00:00:00.700,35.44360637128816,-119.73610746258097,35.38174106722358,0.85297914889198,273.88261750208306,2,0.04719698394979115,-68.5982919309669,50,91.36396976291965,29.963935642549238,rainy,86,highway,363.51725848573176,0,,,Passed
1051,2025-01-01 00:00:00.800,35.281637785988195,-119.84775804321306,36.269915448264406,0.417669517111269,194.34279286860232,1,0.045759633098324495,-73.07550225428018,50,101.68709598238227,45.81637436553402,rainy,54,highway,86.92299094059472,0,14.615696589642239,1.9457608208164003,Passed
1027,2025-01-01 00:00:00.900,35.40183603844956,-119.59328502944302,70.165154932049,0.1573689676626029,290.6784558590625,4,0.07125956761539498,-52.32928896135615,5,73.6761097525165,29.94877260191897,sunny,12,highway,228.76155590214802,0,,,Passed
1008,2025-01-01 00:00:01.000,35.24241498567949,-119.84621801644514,42.123555020933466,-1.0234979110089033,60.584775182255,4,0.10375812434867322,-57.42452602762056,5,63.8935348265389,23.887039487702065,rainy,48,highway,155.30740843586938,0,,,Passed
1055,2025-01-01 00:00:01.100,35.018443473677266,-119.80478216698995,52.62055604529877,-1.7940849950000426,100.31272712518012,1,0.12687026894027276,-57.98236371113083,5,89.36716561665378,49.497765893871026,foggy,77,highway,179.37905962149156,0,,,Passed
1016,2025-01-01 00:00:01.200,35.36410817430593,-119.68389156635962,58.453762376711076,0.5341188430435788,192.87888626691304,4,0.15966902499691024,-71.23206140086427,50,71.19111062399125,16.42712995441674,foggy,45,highway,229.23257040474834,0,,,Passed
